words
.
,
you
?
the
i
to
s
a
!
...
t
it
and
of
that
i'
in
is
me
what
this
on
my
your
we
for
m
no
do
have
re
don'
it'
are
be
know
not
was
he
you'
all
with
get
here
just
but
go
so
il
right
like
up
out
come
can
about
him
there
got
now
oh
one
they
at
if
that'
yeah
'
want
how
good
ve
we'
see
her
think
well
will
she
did
he'
